sent,filtered,sorted
"[['I', 'have', 'different', 'strings', 'in', 'different', 'time', 'zones'], ['ADT'], ['EET'], ['BRT'], [], ['I', 'use', 'format', 'with', 'to', 'get', 'date', 'time', 'object'], ['But', 'the', 'next', 'code', 'returns', 'FALSE'], ['Problem'], ['PHP', ""doesn't"", 'recognise'], ['BRT'], ['abbreviation', 'time', 'zone'], ['Is', 'there', 'any', 'way', 'to', 'overcome', 'this'], ['For', 'example', 'can', 'I', 'add', 'new', 'abbreviation', 'to', 'PHP', 'time', 'zones', 'list'], ['P', 'S'], ['Returns']]","[[('different', 'JJ'), ('strings', 'NNS'), ('time', 'NN'), ('zones', 'NNS')], [('ADT', 'NN')], [('EET', 'NN')], [('BRT', 'NN')], [], [('format', 'JJ'), ('date', 'NN'), ('time', 'NN'), ('object', 'NN')], [('next', 'JJ'), ('code', 'NN'), ('returns', 'NNS'), ('FALSE', 'NNP')], [('Problem', 'NN')], [('PHP', 'NNP'), (""doesn't"", 'NN'), ('recognise', 'NN')], [('BRT', 'NN')], [('abbreviation', 'NN'), ('time', 'NN'), ('zone', 'NN')], [('way', 'NN')], [('example', 'NN'), ('new', 'JJ'), ('abbreviation', 'NN'), ('PHP', 'NNP'), ('time', 'NN'), ('zones', 'NNS'), ('list', 'NN')], [('P', 'NNP'), ('S', 'NNP')], [('Returns', 'NNS')]]","[13, 1, 6, 7, 9]"
"[['I', 'have', 'objects', 'Sock', 'and', 'ChildSock', 'which', 'extends', 'Sock'], ['I', 'also', 'have', 'a', 'Human', 'class', 'which', 'can', 'wear', 'the', 'Sock', 'type', 'and', 'a', 'HumanChild', 'class', 'which', 'extends', 'the', 'Human', 'class', 'and', 'have', 'a', 'wear', 'method', 'taking', 'in', 'a', 'ChildSock', 'which', 'should', 'override', 'the', 'parent', 'wear', 'method'], ['Now', 'when', 'I', 'try', 'run', 'the', 'following'], ['I', 'get', 'the', 'following', 'outputs'], ['But', 'I', 'want', 'the', 'messages', 'both', 'to', 'be', 'Child', 'Sock', 'Worn', 'since', 'the', 'object', 'csock', 'is', 'a', ""child's"", 'sock', 'But', 'I', 'can'], ['only', 'modify', 'the', 'code', 'for', 'the', 'HumanChild', 'class'], ['and', 'nothing', 'else', 'How', 'can', 'I', 'do', 'this'], ['What', ""I've"", 'already', 'tried'], [""I've"", 'tried', 'overriding', 'the', 'method', 'in', 'the', 'class', 'HumanChild', 'like', 'the', 'following'], ['but', 'it', 'returned'], ['So', ""I'm"", 'not', 'too', 'sure', 'what', 'to', 'do'], [], ['The', 'problem', 'is', 'that', 'does', 'not', 'handle', 'the', 'case', 'where', 'is', 'a', 'but', 'not', 'a', 'So', 'it', 'cannot', 'override'], ['You', 'probably', 'want', 'something', 'like', 'this']]","[[('objects', 'NNS'), ('Sock', 'NNP'), ('ChildSock', 'NNP')], [('Human', 'NNP'), ('class', 'NN'), ('Sock', 'NNP'), ('type', 'NN'), ('HumanChild', 'NNP'), ('wear', 'JJ'), ('method', 'NN'), ('ChildSock', 'NNP'), ('parent', 'NN'), ('wear', 'NN')], [('following', 'NN')], [('following', 'NN'), ('outputs', 'NNS')], [('messages', 'NNS'), ('Child', 'NNP'), ('Sock', 'NNP'), ('Worn', 'NNP'), ('object', 'NN'), ('csock', 'NN'), (""child's"", 'JJ'), ('sock', 'NN')], [('code', 'NN'), ('HumanChild', 'NNP'), ('class', 'NN')], [('nothing', 'NN'), ('How', 'NNP')], [(""I've"", 'NNP')], [(""I've"", 'NNP'), ('method', 'NN'), ('class', 'NN'), ('HumanChild', 'NNP')], [], [(""I'm"", 'NNP'), ('sure', 'JJ')], [], [('problem', 'NN'), ('case', 'NN')], [('something', 'NN')]]","[2, 5, 9, 1, 6]"
"[['Basically', 'I', 'just', 'want', 'to', 'call', 'some', 'custom', 'script', 'between', 'webpack', 'plugins', 'Is', 'it', 'possible', 'In', 'general', 'I', 'need', 'to', 'run', 'one', 'plugin', 'then', 'run', 'an', 'outer', 'script', 'and', 'continue', 'to', 'execute', 'webpack', 'plugins'], ['The', 'explanation'], [""I'm"", 'developing', 'a', 'static', 'website', 'and', 'I', 'have', 'build', 'steps', 'for', 'my', 'app'], ['compile', 'html', 'from', 'handlebars', ""It's"", 'a', 'Webpack', 'Handlebar', 'Plugin', 'responsibility'], ['run', 'a', 'dedicated', 'script', 'that', 'handles', 'translates'], ['continue', 'to', 'run', 'a', 'webpack', 'plugins', 'HTML', 'webpack', 'plugin', 'that', 'should', 'take', 'the', 'translated', 'html', 'and', 'put', 'them', 'into', 'the', 'dist', 'folder'], ['I', 'was', 'thinking', 'about', 'programmatically', 'calling', 'multiple', 'webpack', 'instances', 'to', 'do', 'builds', 'in', 'some', 'node', 'js', 'script', 'But', ""I'd"", 'like', 'to', 'avoid', 'webpack', 'operations', 'So', 'is', 'there', 'existing', 'some', 'other', 'way', 'to', 'do', 'it', 'Thanks', 'for', 'any', 'help']]","[[('Basically', 'NNP'), ('custom', 'NN'), ('script', 'NN'), ('webpack', 'NN'), ('plugins', 'NNS'), ('possible', 'JJ'), ('general', 'JJ'), ('plugin', 'NN'), ('outer', 'NN')], [('explanation', 'NN')], [(""I'm"", 'NNP'), ('static', 'JJ'), ('website', 'NN'), ('build', 'JJ'), ('steps', 'NNS'), ('app', 'NN')], [('compile', 'NN'), ('html', 'NN'), ('handlebars', 'NNS'), (""It's"", 'NNP'), ('Webpack', 'NNP'), ('Handlebar', 'NNP'), ('Plugin', 'NNP'), ('responsibility', 'NN')], [('dedicated', 'JJ'), ('script', 'NN'), ('translates', 'NNS')], [('continue', 'NN'), ('webpack', 'NN'), ('HTML', 'NNP'), ('plugin', 'NN'), ('html', 'NN'), ('dist', 'NN'), ('folder', 'NN')], [('multiple', 'JJ'), ('webpack', 'NN'), ('instances', 'NNS'), ('builds', 'NNS'), ('node', 'JJ'), ('js', 'JJ'), ('script', 'NN'), (""I'd"", 'NNP'), ('operations', 'NNS'), ('other', 'JJ'), ('way', 'NN'), ('help', 'NN')]]","[7, 1, 4, 6, 3]"
"[[""I'm"", 'having', 'trouble', 'implementing', 'a', 'function', 'into', 'this', 'program', 'The', 'program', 'I', 'have', 'currently', 'works', 'fine', 'on', 'its', 'own', 'without', 'the', 'function', 'but', 'I', 'still', 'need', 'to', 'find', 'a', 'way', 'to', 'put', 'into', 'it', 'I', 'also', 'need', 'to', 'invoke', 'the', 'function', 'with', 'this', 'I', 'tried', 'different', 'ways', 'but', 'whenever', 'I', 'try', 'to', 'invoke', 'the', 'function', 'it', 'says', 'that', 'is', 'not', 'defined'], ['This', 'is', 'what', 'I', 'have', 'to', 'make'], ['The', 'function', 'will', 'test', 'whether', 'a', 'person', 'is', 'qualified', 'to', 'finance', 'an', 'expensive', 'car', 'They', 'are', 'qualified', 'if', 'their', 'annual', 'income', 'is', 'greater', 'than', 'and', 'the', 'sales', 'price', 'is', 'less', 'than', 'The', 'function', 'returns', 'a', 'message', 'to', 'the', 'program', 'stating', 'whether', 'the', 'person', 'is', 'qualified', 'or', 'not', 'The', 'program', 'invokes', 'the', 'finance', 'function', 'with', 'this', 'print', 'statement', 'and', 'the', 'user', 'input', 'the', 'income', 'and', 'sales', 'price'], [], ['The', 'problem', 'is'], ['indentation'], ['You', 'need', 'to', 'return', 'a', 'variable'], ['EDIT'], ['I', 'edited', 'the', 'code', 'based', 'on', 'your', 'problem'], [], ['You', 'make', 'an', 'indentation', 'error', 'your', 'line', 'is', 'outside', 'of', 'your', 'function', 'you', 'have', 'to', 'indent', 'it'], ['More', 'informations', 'about', 'indentation', 'in', 'python'], ['here'], []]","[[(""I'm"", 'NNP'), ('trouble', 'NN'), ('function', 'NN'), ('program', 'NN'), ('fine', 'JJ'), ('own', 'JJ'), ('way', 'NN'), ('different', 'JJ'), ('ways', 'NNS')], [], [('function', 'NN'), ('person', 'NN'), ('expensive', 'JJ'), ('car', 'NN'), ('annual', 'JJ'), ('income', 'NN'), ('greater', 'JJR'), ('sales', 'NNS'), ('price', 'NN'), ('less', 'JJR'), ('message', 'NN'), ('program', 'NN'), ('finance', 'NN'), ('print', 'NN'), ('statement', 'NN'), ('user', 'NN')], [], [('problem', 'NN')], [('indentation', 'NN')], [('variable', 'JJ')], [('EDIT', 'NN')], [('code', 'NN'), ('problem', 'NN')], [], [('indentation', 'NN'), ('error', 'NN'), ('line', 'NN'), ('function', 'NN')], [('More', 'JJR'), ('informations', 'NNS'), ('indentation', 'NN'), ('python', 'NN')], [], []]","[3, 1, 11, 12, 9]"
"[['I', 'have', 'a', 'website', 'hosted', 'on', 'Heroku', 'and', 'Firebase', 'front', 'react', 'and', 'backend', 'nodejs', 'and', 'I', 'have', 'some', 'long', 'running', 'scripts', 'that', 'I', 'need', 'to', 'perform', 'I', 'had', 'the', 'idea', 'to', 'deploy', 'a', 'node', 'process', 'to', 'my', 'raspberry', 'pi', 'to', 'execute', 'this', 'because', 'I', 'need', 'resources', 'from', 'inside', 'my', 'network'], ['How', 'would', 'I', 'set', 'this', 'up', 'securely'], ['I', 'think', 'I', 'need', 'to', 'create', 'a', 'nodejs', 'process', 'that', 'checks', 'the', 'central', 'server', 'regularly', 'if', 'there', 'are', 'any', 'jobs', 'to', 'be', 'done', 'Can', 'I', 'use', 'sockets', 'for', 'this', 'What', 'technology', 'would', 'you', 'guys', 'use'], ['I', 'think', 'the', 'design', 'would', 'be', 'Local', 'agent', 'starts', 'and', 'connects', 'to', 'server', 'Server', 'sends', 'messages', 'to', 'agent', 'or', 'local', 'agent', 'polls', 'with', 'time', 'interval'], ['EDIT', 'I', 'have', 'multiple', 'users', 'that', 'I', 'would', 'like', 'to', 'serve', 'The', 'user', 'should', 'be', 'able', 'to', 'download', 'the', 'agent', 'and', 'set', 'it', 'up', 'so', 'that', 'it', 'connects', 'to', 'the', 'remote', 'server'], [], ['You', 'could', 'just', 'use', 'firebase', 'for', 'this', 'right', 'Create', 'a', 'new', 'firebase', 'db', 'for', 'tasks', 'or', 'whatever', 'that', 'is', 'only', 'accessible', 'for', 'you', 'When', 'the', 'central', 'server', 'whatever', 'that', 'is', 'determines', ""there's"", 'a', 'job', 'to', 'be', 'done', 'it', 'adds', 'it', 'to', 'your', 'tasks', 'db'], ['Then', 'you', 'write', 'a', 'simple', 'node', 'app', 'you', 'can', 'run', 'on', 'your', 'raspberry', 'pi', 'that', 'starts', 'up', 'authenticates', 'with', 'firebase', 'and', 'listens', 'for', 'updates', 'on', 'your', 'tasks', 'database', 'When', 'one', 'is', 'added', 'it', 'runs', 'your', 'long', 'running', 'task', 'then', 'removes', 'that', 'task', 'from', 'the', 'database'], ['Wrap', 'it', 'up', 'in', 'a', 'bash', 'script', ""that'll"", 'automatically', 'run', 'it', 'again', 'if', 'it', 'crashes', 'and', ""you've"", 'got', 'a', 'super', 'simple', 'pubsub', 'setup', 'without', 'needing', 'to', 'expose', 'anything', 'on', 'your', 'local', 'network']]","[[('website', 'NN'), ('Heroku', 'NNP'), ('Firebase', 'NNP'), ('front', 'NNP'), ('react', 'NN'), ('nodejs', 'NN'), ('long', 'JJ'), ('running', 'NN'), ('scripts', 'NNS'), ('idea', 'NN'), ('node', 'JJ'), ('process', 'NN'), ('raspberry', 'NN'), ('pi', 'NN'), ('resources', 'NNS'), ('network', 'NN')], [], [('nodejs', 'JJ'), ('process', 'NN'), ('central', 'JJ'), ('server', 'NN'), ('jobs', 'NNS'), ('Can', 'NNP'), ('sockets', 'NNS'), ('technology', 'NN'), ('use', 'NN')], [('design', 'NN'), ('Local', 'JJ'), ('agent', 'NN'), ('starts', 'NNS'), ('connects', 'NNS'), ('Server', 'NNP'), ('messages', 'NNS'), ('local', 'JJ'), ('polls', 'NNS'), ('time', 'NN'), ('interval', 'NN')], [('EDIT', 'NN'), ('multiple', 'JJ'), ('users', 'NNS'), ('user', 'NN'), ('able', 'JJ'), ('agent', 'NN'), ('remote', 'JJ'), ('server', 'NN')], [], [('firebase', 'NN'), ('right', 'JJ'), ('Create', 'NNP'), ('new', 'JJ'), ('db', 'NN'), ('tasks', 'NNS'), ('whatever', 'NN'), ('accessible', 'JJ'), ('central', 'JJ'), ('server', 'NN'), ('determines', 'JJ'), ('job', 'NN')], [('simple', 'JJ'), ('node', 'NN'), ('raspberry', 'NN'), ('pi', 'NN'), ('authenticates', 'NNS'), ('firebase', 'NN'), ('listens', 'NNS'), ('updates', 'NNS'), ('tasks', 'NNS'), ('database', 'NN'), ('one', 'NN'), ('long', 'JJ'), ('running', 'NN'), ('task', 'NN')], [('Wrap', 'NN'), ('bash', 'NN'), ('script', 'NN'), (""that'll"", 'NN'), (""you've"", 'NNP'), ('super', 'JJ'), ('simple', 'NN'), ('pubsub', 'NN'), ('setup', 'NN'), ('anything', 'NN'), ('local', 'JJ'), ('network', 'NN')]]","[1, 8, 7, 9, 4]"
"[['I', 'have', 'array', 'of', 'two', 'objects', 'store', 'id', 'and', 'distance', 'I', 'want', 'to', 'show', 'all', 'stores', 'where', 'their', 'ids', 'in', 'the', 'group', 'if', ""id's"", 'in', 'that', 'array', 'also', 'to', 'get', 'their', 'distance', 'in', 'the', 'same', 'time', 'by', 'using', 'ajax', 'with', 'the', 'variable', 'store', 'name', 'I', 'tried', 'with', 'this', 'function', 'but', ""didn't"", 'work'], ['StoresArray'], ['controller'], ['getting', 'distance'], [], ['Step', 'Modify', 'the', 'array', 'of', 'storeinfo'], ['Replace', 'in', 'your', 'function'], ['By'], ['Step', 'Get', 'the', 'stores', 'Ids'], ['Step', 'Get', 'the', 'stores'], ['Step', 'inject', 'the', 'distances', 'in', 'the', 'Paginator']]","[[('objects', 'NNS'), ('id', 'NN'), ('distance', 'NN'), ('stores', 'NNS'), ('ids', 'NNS'), ('group', 'NN'), ('array', 'NN'), ('same', 'JJ'), ('time', 'NN'), ('ajax', 'NN'), ('variable', 'JJ'), ('store', 'NN'), ('name', 'NN'), ('function', 'NN'), (""didn't"", 'NN'), ('work', 'NN')], [('StoresArray', 'NN')], [('controller', 'NN')], [('distance', 'NN')], [], [('Step', 'NN'), ('Modify', 'NNP'), ('array', 'NN'), ('storeinfo', 'NN')], [('Replace', 'NN'), ('function', 'NN')], [], [('Step', 'NN'), ('Get', 'NNP'), ('stores', 'NNS'), ('Ids', 'NNP')], [('Step', 'NN'), ('Get', 'NNP'), ('stores', 'NNS')], [('Step', 'NN'), ('distances', 'NNS'), ('Paginator', 'NN')]]","[1, 6, 9, 10, 11]"
"[['In', 'my', 'app', 'this', 'is', 'the', 'RegisterController'], ['I', 'have', 'done', 'the', 'basic', 'validations', 'here'], ['But', 'now', 'I', 'would', 'like', 'to', 'know', 'how', 'to', 'use', 'try', 'catch', 'exception', 'handling', 'to', 'handle', 'the', 'controller', 'errors', 'and', 'if', 'an', 'error', 'occurred', 'how', 'to', 'redirect', 'user', 'back', 'to', 'register', 'blade', 'Can', 'I', 'use', 'try', 'catch', 'exception', 'handling', 'here', 'Or', 'is', 'this', 'secure', 'enough'], [""I'm"", 'using', 'laravel'], [], ['One', 'of', 'the', 'easiest', 'way', 'to', 'be', 'working', 'with', 'Validation', 'is', 'to', 'utilize', 'FormRequests'], ['In', 'your', 'controller', 'outwards', 'facing', 'method', 'utilise', 'it', 'seems', 'like', 'create', 'is', 'protected', 'and', ""can't"", 'find', 'the', 'store', 'function', 'This', 'will', 'automatically', 'redirect', 'and', 'validate', 'without', 'any', 'extra', 'code'], ['You', 'can', 'then', 'check', 'for', 'validation', 'errors', 'in', 'blade', 'like', 'so', 'as', 'described', 'in', 'the'], ['doc'], []]","[[('app', 'NN'), ('RegisterController', 'NNP')], [('basic', 'JJ'), ('validations', 'NNS')], [('catch', 'NN'), ('exception', 'NN'), ('controller', 'NN'), ('errors', 'NNS'), ('error', 'NN'), ('user', 'NN'), ('blade', 'NN'), ('Can', 'NNP'), ('try', 'JJ'), ('Or', 'NNP'), ('secure', 'NN'), ('enough', 'JJ')], [(""I'm"", 'NNP'), ('laravel', 'NN')], [], [('easiest', 'JJS'), ('way', 'NN'), ('Validation', 'NNP'), ('FormRequests', 'NNS')], [('controller', 'NN'), ('outwards', 'NNS'), ('method', 'NN'), ('utilise', 'NN'), ('create', 'NN'), (""can't"", 'JJ'), ('store', 'NN'), ('function', 'NN'), ('extra', 'JJ'), ('code', 'NN')], [('validation', 'NN'), ('errors', 'NNS'), ('blade', 'NN')], [('doc', 'NN')], []]","[3, 7, 6, 8, 1]"
"[['When', 'I', 'on', 'cart', 'jsp', 'click', 'clear', 'button', 'giving', 'this', 'error', 'angular', 'js', 'DELETE'], ['http', 'localhost', 'rest', 'cart', 'D', 'B', 'A', 'B', 'A', 'EDA', 'CEBF', 'F', 'BBE'], [], ['And', 'when', 'I', 'click', 'Order', 'now', 'nothing', 'happening'], ['I', 'searched', 'for', 'the', 'error', 'everywhere', 'but', 'I', ""couldn't"", 'find', 'it'], ['can', 'you', 'help', 'me'], ['controller', 'js'], ['cart', 'jsp'], ['product', 'jsp'], [], ['means', 'you', 'need', 'to', 'configure', 'Spring', 'security', 'to', 'allow', 'that', 'request']]","[[('cart', 'NN'), ('jsp', 'NN'), ('click', 'NN'), ('clear', 'JJ'), ('button', 'NN'), ('error', 'NN'), ('angular', 'JJ'), ('js', 'NN'), ('DELETE', 'NNP')], [('http', 'NN'), ('localhost', 'NN'), ('cart', 'NN'), ('D', 'NNP'), ('B', 'NNP'), ('A', 'NNP'), ('EDA', 'NNP'), ('CEBF', 'NNP'), ('F', 'NNP'), ('BBE', 'NNP')], [], [('Order', 'JJR'), ('nothing', 'NN')], [('error', 'NN')], [], [('controller', 'NN'), ('js', 'NN')], [('cart', 'NN'), ('jsp', 'NN')], [('product', 'NN'), ('jsp', 'NN')], [], [('means', 'NNS'), ('Spring', 'NNP'), ('security', 'NN'), ('request', 'NN')]]","[2, 1, 11, 4, 7]"
"[['have', 'two', ""table's"", 'Queue', 'appointment', 'id', 'actual', 'time', 'Queue', 'Summary', 'date', 'doctor', 'id', 'num', 'of', 'patients'], ['The', 'first', 'is', 'all', 'the', 'queues', 'there', 'are', 'and', 'the', 'second', 'is', 'how', 'many', 'queues', 'for', 'each', 'doctor', 'on', 'a', 'certain', 'date', 'I', 'need', 'to', 'build', 'a', 'trigger', 'that', 'updates', 'the', 'num', 'of', 'patients', 'every', 'time', 'in', 'Queue', 'that', 'a', 'queue', 'is', 'added', 'I', 'need', 'to', 'add', 'to', 'a', 'doctor', 'num', 'of', 'patients', 'on', 'that', 'date', 'Also', 'when', 'removing'], ['I', 'have', 'just', 'counted', 'the', 'number', 'of', 'queues', 'given', 'a', 'doctor', 'id', 'and', 'date', 'made', 'it', 'into', 'two', 'triggers', 'But', 'the', 'only', 'problem', 'I', 'have', 'is', 'where', 'do', 'I', 'place', 'the', 'if', 'statement', 'that', 'checks', 'if', 'this', 'date', 'is', 'on', 'Queue', 'Summary', 'and', 'if', 'not', 'adds', 'it'], ['P', 'S', 'Im', 'not', 'on', 'thoes', 'also', 'as', 'my', 'database', 'is', 'a', 'bit', 'off', 'and', 'does', 'tons', 'of', 'problems', 'if', 'there', 'are', 'any', 'problem', 'in', 'thoes', 'statments', ""I'll"", 'be', 'more', 'them', 'happy', 'to', 'know'], [], ['You', 'should', 'carry', 'out', 'an', 'existence', 'test', 'in', 'your', 'trigger', 'For', 'example'], ['And', 'a', 'delete', 'trigger', 'is', 'similar', 'but', 'simpler'], ['The', 'existence', 'check', 'is', 'entirely', 'cosmetic', 'since', 'a', 'delete', ""won't"", 'complain', 'if', 'there', 'is', 'nothing', 'to', 'delete']]","[[(""table's"", 'NNS'), ('Queue', 'NNP'), ('appointment', 'NN'), ('id', 'NN'), ('actual', 'JJ'), ('time', 'NN'), ('Summary', 'NNP'), ('date', 'NN'), ('doctor', 'NN'), ('id', 'JJ'), ('num', 'NN'), ('patients', 'NNS')], [('first', 'JJ'), ('queues', 'NNS'), ('second', 'JJ'), ('many', 'JJ'), ('doctor', 'NN'), ('certain', 'JJ'), ('date', 'NN'), ('trigger', 'NN'), ('num', 'NN'), ('patients', 'NNS'), ('time', 'NN'), ('Queue', 'NNP'), ('queue', 'NN')], [('number', 'NN'), ('queues', 'NNS'), ('doctor', 'NN'), ('id', 'NN'), ('date', 'NN'), ('triggers', 'NNS'), ('only', 'JJ'), ('problem', 'NN'), ('statement', 'NN'), ('Queue', 'NNP'), ('Summary', 'NNP')], [('P', 'NNP'), ('S', 'NNP'), ('Im', 'NNP'), ('thoes', 'NNS'), ('database', 'NN'), ('bit', 'NN'), ('tons', 'NNS'), ('problems', 'NNS'), ('problem', 'NN'), ('thoes', 'JJ'), ('statments', 'NNS'), ('happy', 'JJ')], [], [('existence', 'NN'), ('test', 'NN'), ('trigger', 'NN'), ('example', 'NN')], [('delete', 'JJ'), ('trigger', 'NN'), ('similar', 'JJ'), ('simpler', 'NN')], [('existence', 'NN'), ('check', 'NN'), ('cosmetic', 'JJ'), ('delete', 'JJ'), (""won't"", 'NN'), ('complain', 'NN'), ('nothing', 'NN')]]","[2, 1, 4, 3, 8]"
"[['This', 'may', 'be', 'lame', 'but', 'i', 'need', 'help', 'in', 'VBA', 'while', 'using', 'Input', 'Box', 'for', 'Filter', 'Criteria', ""I'm"", 'trying', 'to', 'use', 'below', 'code', 'where', 'the', 'user', 'needs', 'to', 'put', 'values', 'in', 'to', 'filter', 'the', 'range', 'accordingly'], ['In', 'this', 'case', ""i'm"", 'trying', 'to', 'filter', 'for', 'upper', 'range', 'and', 'for', 'lower', 'range', 'The', 'difficulty', 'i', 'am', 'facing', 'is', 'that', 'when', 'i', 'type', 'or', 'for', 'lower', 'range', 'then', 'the', 'value', 'is', 'considered', 'as', 'and', 'when', 'i', 'use', 'and', 'so', 'on', 'till', 'then', 'the', 'value', 'is', 'considered', 'as', 'I', 'need', 'the', 'value', 'to', 'be', 'exact', 'as', 'i', 'input', 'in', 'the', 'input', 'box'], [], ['Change', 'the', 'data', 'type', 'of', 'to', 'otherwise', 'VBA', 'will', 'convert', 'your', 'input', 'automatically', 'to', 'which', 'means', 'in', 'your', 'case', 'it', 'will', 'convert', 'your', 'input', 'to', 'or'], ['should', 'be'], ['Do', 'the', 'same', 'for']]","[[('lame', 'JJ'), ('i', 'JJ'), ('help', 'NN'), ('VBA', 'NNP'), ('Input', 'NNP'), ('Box', 'NNP'), ('Filter', 'NNP'), ('Criteria', 'NNP'), (""I'm"", 'NNP'), ('code', 'NN'), ('user', 'NN'), ('values', 'NNS'), ('range', 'NN')], [('case', 'NN'), ('upper', 'JJ'), ('range', 'NN'), ('lower', 'JJR'), ('difficulty', 'NN'), ('i', 'NN'), ('facing', 'NN'), ('i', 'JJ'), ('type', 'NN'), ('value', 'NN'), ('use', 'NN'), ('till', 'NN'), ('exact', 'JJ'), ('input', 'NN'), ('box', 'NN')], [], [('data', 'NNS'), ('type', 'NN'), ('VBA', 'NNP'), ('input', 'NN'), ('case', 'NN')], [], [('same', 'JJ')]]","[2, 1, 4, 6, 3]"
"[[""I'm"", 'developing', 'a', 'project', 'in', 'AngularJS', 'and', 'I', 'need', 'some', 'help', 'I', 'have', 'a', 'table', 'in', 'my', 'index', 'that', 'receives', 'the', 'data', 'from', 'an', 'array', 'that', 'contains', 'the', 'reading', 'of', 'a', 'CSV', 'file', 'The', 'first', 'example', 'works', 'but', 'I', 'would', 'like', 'to', 'have', 'a', 'table', 'structure', 'as', 'shown', 'in', 'second', 'example', 'Can', 'someone', 'help', 'me', 'to', 'adapt', 'this', 'for', 'the', 'second', 'example', 'thanks', 'i', 'have', 'tried', 'so', 'many', 'times', 'but', 'without', 'success'], ['First', 'example', 'that', 'works'], ['Second', 'example', 'that', 'i', 'want']]","[[(""I'm"", 'NNP'), ('project', 'NN'), ('AngularJS', 'NNP'), ('help', 'NN'), ('table', 'NN'), ('index', 'NN'), ('data', 'NN'), ('array', 'NN'), ('reading', 'NN'), ('CSV', 'NNP'), ('file', 'NN'), ('first', 'JJ'), ('example', 'NN'), ('works', 'NNS'), ('table', 'JJ'), ('structure', 'NN'), ('second', 'JJ'), ('Can', 'NNP'), ('someone', 'NN'), ('thanks', 'NNS'), ('many', 'JJ'), ('times', 'NNS'), ('success', 'NN')], [('example', 'NN')], [('Second', 'JJ'), ('example', 'NN'), ('i', 'NN')]]","[1, 3, 2]"
"[['I', 've', 'created', 'a', 'page', 'with', 'a', 'data', 'table', 'with', 'Bootstrap', 'In', 'some', 'cases', 'the', 'table', 'is', 'very', 'large', 'and', 'the', 'data', 'retrieval', 'takes', 'a', 'few', 'seconds', 'Therefore', 'I', 've', 'added', 'a', 'spinner', 'loader', 'which', 'shows', 'that', 'the', 'page', 'is', 'still', 'loading', 'However', 'the', 'spinner', 'does', 'not', 'stop', 'as', 'expected', 'when', 'the', 'page', 'is', 'completely', 'loaded', 'and', 'I', ""can't"", 'find', 'a', 'note', 'in', 'the', 'documentation', 'how', 'to', 'implement', 'this', 'Am', 'I', 'using', 'the', 'div', 'element', 'incorrectly', 'or', 'do', 'I', 'need', 'JavaScript', 'Unfortunately', 'I', 'have', 'knowledge', 'of', 'JavaScript', 'Or', 'is', 'this', 'a', 'browser', 'OS', 'specific', 'issue', ""I'm"", 'using', 'Firefox', 'Linux'], [], ['You', 'can', 'use'], ['OR'], ['or', 'if', 'you', 'want', 'to', 'hide', 'loader', 'after', 'checking', 'the', 'table', 'is', 'present', 'in', 'DOM', 'or', 'not', 'then', 'you', 'can', 'check', 'if', 'the', 'table', 'is', 'presnt', 'or', 'not', 'by', 'its', 'tag', 'or', 'selctor', 'length'], ['Something', 'like', 'this'], ['By', 'jQuery'], [], ['I', 'think', 'this', 'bit', 'of', 'code', 'should', 'do', 'the', 'job', 'It', 'requires', 'jQuery', 'so', 'add', 'to', 'the', 'head', 'of', 'your', 'page']]","[[('page', 'NN'), ('data', 'NNS'), ('table', 'NN'), ('Bootstrap', 'NNP'), ('cases', 'NNS'), ('large', 'JJ'), ('retrieval', 'NN'), ('few', 'JJ'), ('seconds', 'NNS'), ('spinner', 'NN'), ('loader', 'NN'), ('loaded', 'JJ'), ('note', 'NN'), ('documentation', 'NN'), ('Am', 'NNP'), ('div', 'NN'), ('element', 'NN'), ('JavaScript', 'NNP'), ('Or', 'NNP'), ('browser', 'NN'), ('OS', 'NNP'), ('specific', 'JJ'), ('issue', 'NN'), (""I'm"", 'NNP'), ('Firefox', 'NNP'), ('Linux', 'NNP')], [], [], [], [('loader', 'NN'), ('table', 'NN'), ('present', 'JJ'), ('DOM', 'NNP'), ('tag', 'NN'), ('selctor', 'NN'), ('length', 'NN')], [], [('jQuery', 'NN')], [], [('bit', 'NN'), ('code', 'NN'), ('job', 'NN'), ('jQuery', 'NN'), ('head', 'NN'), ('page', 'NN')]]","[1, 5, 9, 7, 2]"
